game_event_id,loc_x,loc_y,minutes_remaining,playoffs,seconds_remaining,shot_distance,shot_made_flag,shot_id,home,seconds_from_period_end,seconds_from_period_start,seconds_from_game_start,period_last_5_seconds,game_last_5_seconds,angle,game_date_month_x,game_date_month_y,game_date_weekday_x,game_date_weekday_y,action_type: Alley Oop Dunk Shot,action_type: Alley Oop Layup shot,action_type: Cutting Finger Roll Layup Shot,action_type: Cutting Layup Shot,action_type: Driving Bank shot,action_type: Driving Dunk Shot,action_type: Driving Finger Roll Layup Shot,action_type: Driving Finger Roll Shot,action_type: Driving Floating Bank Jump Shot,action_type: Driving Floating Jump Shot,action_type: Driving Hook Shot,action_type: Driving Jump shot,action_type: Driving Layup Shot,action_type: Driving Reverse Layup Shot,action_type: Driving Slam Dunk Shot,action_type: Dunk Shot,action_type: Fadeaway Bank shot,action_type: Fadeaway Jump Shot,action_type: Finger Roll Layup Shot,action_type: Finger Roll Shot,action_type: Floating Jump shot,action_type: Follow Up Dunk Shot,action_type: Hook Bank Shot,action_type: Hook Shot,action_type: Jump Bank Shot,action_type: Jump Hook Shot,action_type: Jump Shot,action_type: Layup Shot,action_type: Pullup Bank shot,action_type: Pullup Jump shot,action_type: Putback Dunk Shot,action_type: Putback Layup Shot,action_type: Putback Slam Dunk Shot,action_type: Reverse Dunk Shot,action_type: Reverse Layup Shot,action_type: Reverse Slam Dunk Shot,action_type: Running Bank shot,action_type: Running Dunk Shot,action_type: Running Finger Roll Layup Shot,action_type: Running Finger Roll Shot,action_type: Running Hook Shot,action_type: Running Jump Shot,action_type: Running Layup Shot,action_type: Running Pull-Up Jump Shot,action_type: Running Reverse Layup Shot,action_type: Running Slam Dunk Shot,action_type: Running Tip Shot,action_type: Slam Dunk Shot,action_type: Step Back Jump shot,action_type: Tip Layup Shot,action_type: Tip Shot,action_type: Turnaround Bank shot,action_type: Turnaround Fadeaway Bank Jump Shot,action_type: Turnaround Fadeaway shot,action_type: Turnaround Finger Roll Shot,action_type: Turnaround Hook Shot,action_type: Turnaround Jump Shot,combined_shot_type: Bank Shot,combined_shot_type: Dunk,combined_shot_type: Hook Shot,combined_shot_type: Jump Shot,combined_shot_type: Layup,combined_shot_type: Tip Shot,period: 1,period: 2,period: 3,period: 4,period: 5,period: 6,period: 7,season: 1996-97,season: 1997-98,season: 1998-99,season: 1999-00,season: 2000-01,season: 2001-02,season: 2002-03,season: 2003-04,season: 2004-05,season: 2005-06,season: 2006-07,season: 2007-08,season: 2008-09,season: 2009-10,season: 2010-11,season: 2011-12,season: 2012-13,season: 2013-14,season: 2014-15,season: 2015-16,shot_type: 2PT Field Goal,shot_type: 3PT Field Goal,shot_zone_area: Back Court(BC),shot_zone_area: Center(C),shot_zone_area: Left Side Center(LC),shot_zone_area: Left Side(L),shot_zone_area: Right Side Center(RC),shot_zone_area: Right Side(R),shot_zone_basic: Above the Break 3,shot_zone_basic: Backcourt,shot_zone_basic: In The Paint (Non-RA),shot_zone_basic: Left Corner 3,shot_zone_basic: Mid-Range,shot_zone_basic: Restricted Area,shot_zone_basic: Right Corner 3,shot_zone_range: 16-24 ft.,shot_zone_range: 24+ ft.,shot_zone_range: 8-16 ft.,shot_zone_range: Back Court Shot,shot_zone_range: Less Than 8 ft.,opponent: ATL,opponent: BKN,opponent: BOS,opponent: CHA,opponent: CHI,opponent: CLE,opponent: DAL,opponent: DEN,opponent: DET,opponent: GSW,opponent: HOU,opponent: IND,opponent: LAC,opponent: MEM,opponent: MIA,opponent: MIL,opponent: MIN,opponent: NJN,opponent: NOH,opponent: NOP,opponent: NYK,opponent: OKC,opponent: ORL,opponent: PHI,opponent: PHX,opponent: POR,opponent: SAC,opponent: SAS,opponent: SEA,opponent: TOR,opponent: UTA,opponent: VAN,opponent: WAS,game_date_month: 1,game_date_month: 2,game_date_month: 3,game_date_month: 4,game_date_month: 5,game_date_month: 6,game_date_month: 10,game_date_month: 11,game_date_month: 12,game_date_weekday: 0,game_date_weekday: 1,game_date_weekday: 2,game_date_weekday: 3,game_date_weekday: 4,game_date_weekday: 5,game_date_weekday: 6
157,75,177,7,0,18,19,0.59599967430945,22907,0,438,282,1002,0,0,0.4007934485752348,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
321,0,0,3,0,25,0,0.7596625814972807,22909,0,205,515,1955,0,0,0.0,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
151,179,164,7,0,0,24,0.04611253287450419,22926,0,420,300,1020,0,0,0.8291020952208257,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
156,-226,30,6,0,11,22,0.6481458616440399,22927,0,371,349,1069,0,0,-1.4388245045782102,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
193,-27,223,1,0,38,22,0.9900565668668062,22930,0,98,622,1342,0,0,-0.12048974598816196,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
162,97,175,2,0,51,20,0.30222672568318293,22934,0,171,549,1269,0,0,0.5061276309109762,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
150,-151,205,8,0,28,25,0.9989698539571958,22937,1,508,212,932,0,0,-0.6348603183507451,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
458,0,0,1,0,53,0,0.9861914575416387,22939,1,113,607,2767,0,0,0.0,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
427,131,199,6,0,7,23,1.0,22949,0,367,353,2513,0,0,0.5821819475136389,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
160,0,0,6,0,51,0,0.9980209632654632,22951,0,411,309,1029,0,0,0.0,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
